title,description,general job classification,skills,formal_requirements
Software Implementation Program Manager,"Title: Software Implementation Program ManagerLocation:Cupertino, CA (Work from office 3 days in hybrid model).

We're looking for a Program Manager to join our Environmental Technologies Full Material Disclosure (FMD) team. If you have experience supporting enterprise systems, take the entrepreneurial approach to problem solving, have strong leadership and communication skills, and you're comfortable stabilizing and coordinating a variety of complex activities, you could be an excellent fit.
DescriptionThe Software Implementation Program Manager on the FMD Team will blend business analysis and daily operations to deliver software solutions that support the environmental product compliance during the development, manufacturing, and service of all Apple products.
Responsibilities include:* Drive, track, and support the execution of the FMD program implementation roadmap and manage sprint releases* Define program plans and provide oversight of tasks and action items* Monitor, review, and adjust project progress and timelines as needed* Support development of requirements and proposals for improved process and system solutions* Provide support for external projects where FMD input is required* Support assessment of gaps between current systems/processes and business needs* Support planning, coordination, and facilitation of workshops with key partners* Lead test strategy for user acceptance, creating and executing test scripts* Working knowledge of the software development lifecycle (SDLC), Agile scrum* Manage production support escalatio
Key Qualifications* Minimum of 7 years of first-hand experience in leading cross functional, large scope, and highly integrated software implementation programs.* Solid project leadership skills combined with strong discernment and analytical skills* Exceptional attention to detail and a deep understanding of project, program, and portfolioplanning and delivery.* Strong business insight and customer focus* Ability to collect and summarize meeting minutes effectively* Ability to multitask and balance daily activities with larger project deadlines* Ability to work both independently and collaboratively* Passionate about driving quality within a project organization
Education & ExperienceBS + 10 years of relevant experience in software development implementation, structure and management of Bill of Material (BOM), Teamcenter environmental compliance modules, Agile PLM, SAP or Oracle ERP

ThanksShaik Gousegouse.shaik@akshaya-inc.com",Project Management,"['software implementation', 'project leadership', 'agile scrum', 'business analysis', 'communication', 'problem solving', 'leadership', 'team management', 'quality assurance']","['BS + 10 years of relevant experience in software development implementation', 'Experience supporting enterprise systems', 'Entrepreneurial approach to problem solving', 'Strong business insight and customer focus', 'Ability to collect and summarize meeting minutes effectively', 'Ability to multitask and balance daily activities with larger project deadlines']"
backend Java developer,"Job Description: JAVA Backend with React strong coder
Java/J2EE with focus on Java collection and concurrency APIs and functional programming  Good knowledge of data-structures and algorithms Hands on experience building and using REST APIs Working experience on Spring Framework Experience with Relational databases and NoSQL databases Experience building highly performing and scalable backend components Strong problem solving skills Good communication skills Ability to work independently with minimal supervision
﻿?Thanks & RegardsSanjay Sharma - Sr talent acquisition specialistEmail ID: sanjay.s@tekishub.com | Phone: (+1) 302-488-0906 - Ext 521 TekisHub® Consulting Services Pvt LtdDerive | Drive | DeliverUSA |India |Canada |Singapore |UAE",Software Development / Engineering,"['Java', 'React', 'Spring Framework', 'Relational databases', 'NoSQL databases']","[""Bachelor's degree in Computer Science or related field"", ""Master's degree in Computer Science or related field (Preferred)"", 'At least 3 years of experience in Java/J2EE development']"
Data Science Software Engineer,"Company Overview Sovrinti is a full-service energy storage system supplier and integrator. Using our core strengths of expert service to our customers, unparalleled safety, and excellence in manufacturing, we bring standardized, fully integrated energy storage systems to a rapidly growing worldwide market. Our systems address our customers' needs to reduce capital equipment and installation costs while enhancing system level performance and reliability using automated monitoring systems and analytics across the battery, power conditioning and auxiliary systems. Our AEROS® energy operating system is the engine of innovation to provide advanced control functions allowing our customers to maximize the value of their energy storage assets. Our service capabilities include advanced monitoring and analytics, scheduled maintenance, augmentation, and auxiliary system upgrades. The combination of excellence in battery technology and production coupled with nearly two decades of energy storage integration makes Sovrinti a leading supplier and integrator in the power and energy markets.Sovrinti empowers and expects its team members to assume responsibility and make good decisions, while maintaining a team environment that fosters collaboration and innovation. Our diverse and growing team enjoys competitive salaries, generous benefits, including 100% employer sponsored medical, dental and vision insurance, and flexible working hours.


Position Overview  Sovrinti is looking for an experienced software engineer at our Westborough, MA head office. We are looking for a candidate, who is a self-starter and brings an entrepreneurial spirit, to join the Data Science and Data Analysis (DSDA) team and contribute to the software products used to solve complex issues and enhance system performance in the Battery Energy Storage System (BESS) industry that is seeing exponential growth. This software engineer will be part of a growing team, which offers plenty of opportunities to work on different technologies to achieve business success.   Primary Responsibilities Be part of the Climate tech revolution and help solve the most complex problems through software engineering. Work closely with cross-functional and diverse teams throughout the software product life cycle to gather requirements, implement new features, fix bugs, participate in quality assurance, and update stakeholders. Design, develop, test, and deploy cloud-based software products used in the energy storage industry. Work in an Agile software development environment Work with customers to train them on product features. Strong documentation skills and communication skills.  Key Knowledge, Skills and Abilities Expert in Python-based software development. Strong proficiency with data manipulation libraries like Pandas, Numpy, Matplotlib, Plotly Proficiency with RESTful APIs. Experience working with services on the cloud platforms (AWS/Azure/Databricks/Snowflake/GCP) and containers (Docker/Kubernetes). Experience with working, debugging, and deploying software on Linux and Windows platforms. Familiarity with CI/CD Pipelines. User-level experience with Jira and version control (git or equivalent). Familiarity with microservices infrastructure on the cloud Good understanding of data science (AI/ML) algorithms and statistical algorithms. Experience with SQL and/or Timeseries databases.  Education and Experience  B.S in Math/Physics/Engineering/Computer Science with software development experience Minimum of 2 years of rich industry experience in developing production-level software. Experience architecting software for modularity, and optimization for memory and run-time. Good understanding of object-oriented programming paradigms.Featured benefitsMedical insuranceVision insuranceDental insurance401(k)Paid maternity leavePaid paternity leaveDisability insurance
",Data & Analytics,"['Python-based software development', 'Data manipulation libraries (Pandas, Numpy, Matplotlib, Plotly)', 'RESTful APIs', 'Cloud platforms (AWS/Azure/Databricks/Snowflake/GCP)', 'Containers (Docker/Kubernetes)', 'Linux and Windows platforms', 'CI/CD Pipelines', 'Jira', 'Version control (git or equivalent)', 'Microservices infrastructure on the cloud', 'Data science (AI/ML) algorithms', 'Statistical algorithms', 'SQL', 'Timeseries databases']","['B.S in Math/Physics/Engineering/Computer Science with software development experience', 'Minimum of 2 years of rich industry experience in developing production-level software', 'Experience architecting software for modularity, and optimization for memory and run-time', 'Good understanding of object-oriented programming paradigms']"
Data Engineer/ETL,"Responsibilities:Develop new features, fix bugs, Writing and maintaining code in React, JavaScript, Typescript, and Node.js Using data and analytics to improve the product and customer experienceAccountable for code quality, including writing unit and integration testsWorking collaboratively with a team and refactor PHP and Javascript code for both the frontend and backend of a B2B SaaS product. You will work with another developer via Ping-Pong Programming to help you get up to speed on the code and be part of our initiative for Test Driven Development.Collaborate with the IT team to implement, test, and continuously deliver new features.Create and maintain endpoints.Contribute to all phases of the software development lifecycle.Design and develop applications in React, ensuring scalability, repeatability, support, etc.Develop complex, intelligent, and secure software applications with modern technologies for implementation on both client and servicer side.Build frontend UIs that are simple and powerful.Create code in full stack capacity – involving several languages.Adhere to best practices, technical standards, etc. through testing and team-wide support.Identify inefficiencies and analyze root cause and solutions.Stay up to date on the newest technologies and act as SME for upper management to propose and prioritize upgrades.
Requirements:0 - 3 + years of full stack software development experience BS in Computer Science or relevant field preferredExperience with React, Html, Css, Typescript, api, Javascript, Git, MySQL, Node, Apache, Docker, AWS, and other technologies and languages.Experience creating/maintaining endpoints.Strong background building authenticated APIs.Experience/knowledge of AWS Lambda Functionality.Ability to accurately estimate project scope and tasks, Self-starter capable of taking on tasks without explicit direction
",Data & Analytics,"['React', 'JavaScript', 'Typescript', 'Node.js', 'PHP', 'Html', 'Css', 'Git', 'MySQL', 'Apache', 'Docker', 'AWS']","['Education: BS in Computer Science or relevant field (preferred)', 'Experience: 0 - 3 + years of full stack software development experience', 'Skills: React, Html, Css, Typescript, api, Javascript, Git, MySQL, Node, Apache, Docker, AWS']"
Data Analyst,"Job Title: Data AnalystDuration: ContractLocation: Queens-NY (Day 1 onsite)-- Need only locals 

Role DescriptionThis is a contract role for a Data Analyst. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting complex data sets. You will work with various departments to identify patterns, trends, and insights that can be used to improve business operations. This is an on-site role located in Queens, NY.
QualificationsAnalytical skills, including the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracyData Analytics and Statistics skills, including experience with statistical analysis software and data visualization toolsExcellent communication skills, including the ability to explain technical concepts to non-technical stakeholders and present findings to both technical and non-technical audiencesData Modeling skills, including the ability to develop and maintain complex data models and schemasA Bachelor's degree in Computer Science, Mathematics, Statistics or related fieldExperience with cybersecurity, blockchain, or financial services industries is a plusExperience with SQL, Python, or R programming languages is preferred",Data & Analytics,"['Analytical skills', 'Data Analytics', 'Statistics', 'SQL', 'Python', 'R']","[""Bachelor's degree in Computer Science, Mathematics, Statistics or related field"", 'Experience with cybersecurity, blockchain, or financial services industries is a plus']"
Project Engineer,"Wright Contracting is a well-respected commercial general contractor who has been building in the North Bay since 1953. We’re looking for a project Engineer who will communicate effectively with internal and external stakeholders, is driven by achieving successful outcomes and works to ensure 100% client satisfaction.
As a Project Engineer at Wright Contracting, you will work closely with and support the Project Manager and Superintendent on a range of commercial construction projects. Your role will be to assist with the oversight of most major aspects of construction work, including organizing the acquisition of materials, equipment, and workers, planning for costs, and supporting the project team in executing the project.Project Engineer Responsibilities will include assisting the project team with:
Coordination with project architects, designers, owners, inspectors and field personnel.Review, coordinate and distribute all submissions and responses to Requests for Information (RFIs) and submittals.Assist with bid analysis, constructability reviews, and permit processing.Provide assistance in coordinating and documenting inspection of onsite work to assure compliance with plans and specifications.Document weekly project team meetings and maintain documentation on ProCore.Visit project sites, photograph progress and post photos on ProCore.Support project manager and superintendent to ensure work complies with applicable codes, drawings, and specifications.Have a general understanding of project budget and assist with buyouts.Provide necessary support to Project Manager and Superintendent to monitor and track project quality control and activities on a regular basis, and provide timely quality reports.Assist onsite superintendent with ensuring safety standards are being met at the jobsiteGenerate project punch list and closeout documentation.Project Engineer QualificationsCollege degree in related field or 2-5 years of experience working on commercial projects (i.e. tenant improvements, multi-family and mixed-use, corporate and institutional structures).Excellent communication skills required for interaction with project team members, vendors, designers, consultants, and clients.Exposure to MS Office (Word, Excel, Project) Procore, and Blue Beam.
We are an equal opportunity employer and value diversity. All employment is decided on the basis of qualifications, merit and business need.Job Type: Full-time
Pay: $80,000.00 - $90,000.00 per year
Benefits:401(k)401(k) matchingDental insuranceHealth insurancePaid time offVision insuranceCompensation package:Bonus opportunitiesProfit sharingWeekly payAbility to Relocate:Santa Rosa, CA: Relocate before starting work (Required)Work Location: In person",Project Management,"['project management', 'construction management', 'cost estimation', 'scheduling', 'quality control', 'code compliance', 'document control', 'communication', 'team leadership']","[""Bachelor's degree in related field or 2-5 years of experience working on commercial projects"", 'Excellent communication skills', 'Proficiency in MS Office (Word, Excel, Project)', 'Experience with Procore and Blue Beam', 'Ability to relocate to Santa Rosa, CA']"
Full Stack Engineer,"We work with a large variety of clients and projects across mobile and web applications. Everyone on our team will continually gain an extreme amount of experience in software development due to the sheer breadth and volume of what we work on. It is really tough to beat this type of a job in leveling up as a developer or designer. Remote candidates within +/- 2 hours of the MST timezone are welcome to apply. What you'll be doing:Leading projectsPlanning architecture (with support)Producing a high volume of quality codeCreating estimates, hitting time targetsCode reviews - elevating & enforcing standards/ best practicesWorking closely with designers to render nearly pixel-perfect designsImplementing testing & creating a testing strategyAssisting junior developers and other team membersWorking very closely with mobile front-end development. This isn't a throw your API over the fence role.Implementing automated testing platforms and unit tests
TechnologiesStrong proficiency with JavaScript.ReactNodeTypescriptComfortability with GraphQLHTML5/CSS3
Much of our team works remotely, although we have an amazing office in Ogden with 360° views of the mountains and city. Our team is the most important part of our company, and we prioritize their needs. We enjoy working on interesting projects using cutting-edge technologies with fun people. Our culture embodies these goals. Our work perks include:Paid holidaysPTORetirement matchExtreme schedule flexibilityReimbursement for phone, phone plan, and computerHealthcareMaternity/Paternity leave
Portfolios are better than resumes, but if you would like to show your experience please compress the highlights of your career thus far into a few bullet points and send them to us+dev@builtbyhq.com, along with your best work samples.",Software Development / Engineering,"['JavaScript', 'TypeScript', 'GraphQL', 'HTML5', 'CSS3']","[""Bachelor's degree required"", ""Master's degree preferred"", '4+ years of experience in software development or related field', 'Strong proficiency with JavaScript and TypeScript', 'Comfortability with GraphQL', 'Experience with HTML5/CSS3']"
Full Stack Engineer,"We are growing startup based out of Pleasanton, CA and currently looking for a a senior full stack developer to join our engineering team. This is an on-site role and the ideal candidate need to have hands on experience with the Node.Js stack. The main responsibilities in this role includes:  ResponsibilitiesFull Stack Development with JS, Node.JSMaintain and monitor server-side web applications with Node.js and similar frameworks. Experience developing RESTful services and integrate with front-end technologies like React, Angular.Engage in code reviews, testing, and debugging to deliver quality and performance.Manage and develop apps on AWS Cloud.Collaborate with product managers and other teams to scope requirements and promote offerings.
QualificationsBachelor's degree in Computer Science or related field.3+ years' experience in building web and mobile applications.Ability to multi-task and great attention to detail.Strong verbal, written, and organizational skills.",Software Development / Engineering,"['Node.Js', 'JavaScript', 'RESTful services', 'React', 'Angular']","[""Bachelor's degree in Computer Science or related field"", ""3+ years' experience in building web and mobile applications"", 'Ability to multi-task', 'Great attention to detail', 'Strong verbal, written, and organizational skills']"
Frontend Engineer,"The ideal candidate will be responsible for developing several key features in the Prepto's application. There is a lot of learning and fun in this experience.
Key Responsibilities:Development with React and Redux: Develop and implement responsive UI components using React, Redux, and JavaScript, adhering to best coding practices.Collaboration and Version Control: Work closely with cross-functional teams, ensuring seamless integration of frontend and backend services. Utilize Git for version control and collaboration.Continuous Learning: Engage in continuous learning to enhance skills and apply software engineering design principles.
Preferred Qualifications:Technical Proficiency: Strong skills in React, Redux, JavaScript, and familiarity with at least one programming language. Knowledge of databases and Git is essential.Educational Background: Currently pursuing or completed an MS degree in Computer Science or a related field. A strong understanding of software engineering design principles is expected.Design Sensitivity: An eye for good design, with an understanding of user experience best practices.
Benefits:Comprehensive Benefits: Free lunch, snacks, and access to weekly happy hours and parties.Professional Development: Opportunities for referrals to top tech companies like Amazon, Google, Meta, Snap, and Uber for those interested in exploring further career opportunities.Learning Opportunities: Weekly sessions with engineers from FAANG companies, providing valuable industry insights, tips, and a platform for Q&A.
*This internship emphasizes learning, growth, and building your resume with the help of mentors. We are a small team, so you will directly be working with industry veterans in software engineering.",Software Development / Engineering,"['React', 'Redux', 'JavaScript']","['MS degree in Computer Science or related field', 'Strong understanding of software engineering design principles']"
Junior Business Analyst,"Company Description
 Benda Infotech is a technology solution provider based in Chicago, IL. We specialize in online reputation management, web development, search engine optimization, content marketing, and social media marketing. Our HR services include recruitment, onboarding, and performance management. With a focus on helping businesses grow and transform with technology, we find solutions to increase efficiency, improve customer service, expand into new markets, develop new products or services, and reduce costs.
 Role Description
 This is a full-time on-site role as a Junior Business Analyst at Benda Infotech. As a Junior Business Analyst, you will be responsible for conducting business analysis, gathering and documenting business requirements, and assisting in business process improvement. You will collaborate with cross-functional teams to identify and analyze business needs and provide insights and recommendations to stakeholders.
 Qualifications
 Strong analytical skills and ability to think criticallyExperience or knowledge in business analysisExcellent written and verbal communication skillsUnderstanding of business processes and ability to identify areas for improvementAbility to gather and document business requirementsProficiency in Microsoft Office SuiteExperience with project management methodologies and toolsBachelor's degree in Business Administration or related fieldRelevant certifications in business analysis or project management
 Experience in the technology industry and familiarity with software development lifecycles would be beneficial for this role.",Business Analysis,"['analytical skills', 'critical thinking', 'business analysis', 'written communication', 'verbal communication', 'project management', 'Microsoft Office Suite']","[""Bachelor's degree in Business Administration or related field"", 'Relevant certifications in business analysis or project management']"
Cloud / .NET Developer,"Position: Cloud / .NET Developer Location: 100% RemoteDuration: 3 months
Work Auth: US Citizen or Greencard only

SKILLS REQUIRED: 1. Azure (a lot of Azure experience)2. (Azure Logic Apps OR Azure Service Bus OR Azure Data Factory OR Azure Event Grid) must be recent3. .NET/C#. Must have good backend experience with 4. Snowflake 5. Kafka6. BizTalk (must have recent experience from year 2020, 2021, 2022, 2023, or 2023)7. HL7  (must have recent experience)8. Healthcare (must have recent experience)


Please send your resumes to Kalyan@redifcard.com ",Software Development / Engineering,"['Azure', 'Azure Logic Apps', 'Azure Service Bus', 'Azure Data Factory', 'Azure Event Grid']","['Recent Azure experience', '.NET/C# good backend experience with Snowflake', 'Kafka', 'BizTalk (2020, 2021, 2022, 2023, or 2024 recent experience)', 'HL7 (recent experience)', 'Healthcare (recent experience)']"
Java full Stack Engineer,"Java full stack - Hybrid - 7+ Exp.Location: Phoenix AZ
Development experience with web servicesExperience in spring boot and micro services
Strong core Java and j2ee skills - backend coding and development
Vertx(optional)and reactive programming experience
Should have experience on message queues like Kafka
﻿ Email: gokul@ninfosystemsinc.com ",Software Development / Engineering,"['Java', 'Spring Boot', 'Microservices', 'Core Java', 'J2EE', 'Vertx', 'Reactive Programming', 'Message Queues (Kafka)']",['7+ years of experience']
